,Country,EdLevel,YearsCodePro,Salary
22569,United States of America,Post grad,10.0,178400.0
22570,Canada,Master’s degree,3.0,90758.0
22573,India,Bachelor’s degree,4.0,10890.0
22580,India,Master’s degree,10.0,58639.0
22582,United States of America,Master’s degree,31.0,144000.0
22583,Australia,Master’s degree,5.0,100214.0
22595,Germany,Bachelor’s degree,10.0,97288.0
22596,India,Master’s degree,6.0,34000.0
22598,India,Bachelor’s degree,4.0,32112.0
22603,France,Master’s degree,6.0,81074.0
22604,Russian Federation,Post grad,1.0,26737.0
22606,Brazil,Bachelor’s degree,3.0,27492.0
22611,United States of America,Bachelor’s degree,2.0,120000.0
22613,United States of America,Bachelor’s degree,3.0,80000.0
22616,Australia,Bachelor’s degree,9.0,123598.0
22620,Australia,Bachelor’s degree,15.0,127606.0
22628,United States of America,Master’s degree,23.0,80000.0
22631,Canada,Master’s degree,6.0,36300.0
22633,United States of America,Bachelor’s degree,20.0,120000.0
22634,Russian Federation,Post grad,2.0,14160.0
22646,India,Less than a Bachelors,0.5,16800.0
22649,India,Bachelor’s degree,6.0,20384.0
22650,Sweden,Bachelor’s degree,3.0,40910.0
22655,India,Master’s degree,10.0,43979.0
22657,India,Bachelor’s degree,7.0,23735.0
22669,United States of America,Bachelor’s degree,0.5,62000.0
22671,India,Bachelor’s degree,15.0,10056.0
22681,Australia,Bachelor’s degree,8.0,93533.0
22695,Turkey,Bachelor’s degree,17.0,19728.0
22696,Australia,Master’s degree,28.0,90193.0
22697,United States of America,Bachelor’s degree,5.0,150000.0
22698,United States of America,Less than a Bachelors,4.0,114000.0
22703,United States of America,Master’s degree,19.0,175000.0
22706,India,Bachelor’s degree,2.0,64224.0
22711,Australia,Less than a Bachelors,1.0,43426.0
22713,United States of America,Master’s degree,24.0,161000.0
22716,Norway,Post grad,9.0,71966.0
22717,India,Master’s degree,1.0,36300.0
22719,Germany,Less than a Bachelors,6.0,34380.0
22723,United States of America,Less than a Bachelors,1.0,36000.0
22728,Switzerland,Less than a Bachelors,3.0,67092.0
22738,India,Bachelor’s degree,3.0,13962.0
22741,India,Bachelor’s degree,8.0,30716.0
22745,Germany,Master’s degree,5.0,75669.0
22750,Russian Federation,Master’s degree,5.0,16980.0
22753,United States of America,Less than a Bachelors,7.0,125000.0
22762,Australia,Bachelor’s degree,4.0,48771.0
22764,United States of America,Less than a Bachelors,16.0,80000.0
22766,India,Bachelor’s degree,5.0,16754.0
22767,Switzerland,Bachelor’s degree,14.0,100632.0
22770,Spain,Less than a Bachelors,0.5,21620.0
22771,Germany,Post grad,14.0,75669.0
22780,Netherlands,Bachelor’s degree,21.0,56316.0
22781,Norway,Bachelor’s degree,6.0,75527.0
22784,India,Bachelor’s degree,7.0,16752.0
22786,France,Post grad,5.0,93396.0
22803,India,Bachelor’s degree,0.5,19546.0
22806,Germany,Bachelor’s degree,15.0,70264.0
22807,Poland,Master’s degree,2.0,17719.0
22808,India,Bachelor’s degree,8.0,27923.0
22813,India,Bachelor’s degree,10.0,20943.0
22821,United States of America,Master’s degree,24.0,190000.0
22822,United States of America,Bachelor’s degree,20.0,175000.0
22835,Germany,Less than a Bachelors,2.0,12588.0
22843,Netherlands,Bachelor’s degree,2.0,51888.0
22850,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,9.0,126028.0
22852,India,Bachelor’s degree,3.0,75527.0
22860,Australia,Bachelor’s degree,24.0,66810.0
22873,India,Bachelor’s degree,6.0,41885.0
22877,Poland,Master’s degree,2.0,27336.0
22886,Norway,Master’s degree,5.0,51790.0
22888,Germany,Less than a Bachelors,7.0,62697.0
22889,Netherlands,Master’s degree,19.0,97288.0
22893,India,Bachelor’s degree,7.0,20943.0
22894,Germany,Post grad,5.0,46176.0
22896,India,Bachelor’s degree,6.0,11169.0
22903,India,Bachelor’s degree,4.0,15084.0
22905,Israel,Less than a Bachelors,15.0,108564.0
22910,Canada,Master’s degree,15.0,64287.0
22911,United States of America,Bachelor’s degree,25.0,217000.0
22913,India,Bachelor’s degree,5.0,20943.0
22921,Turkey,Master’s degree,10.0,23664.0
22922,Germany,Bachelor’s degree,12.0,79993.0
22927,Netherlands,Bachelor’s degree,6.0,39936.0
22931,India,Bachelor’s degree,8.0,12566.0
22932,Germany,Bachelor’s degree,12.0,73507.0
22940,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,16.0,71093.0
22942,Poland,Less than a Bachelors,23.0,72900.0
22944,Russian Federation,Master’s degree,7.0,30192.0
22955,Spain,Less than a Bachelors,4.0,31348.0
22962,Germany,Post grad,16.0,68102.0
22979,Germany,Less than a Bachelors,2.0,16860.0
22981,Poland,Master’s degree,10.0,33408.0
22995,Russian Federation,Master’s degree,10.0,38688.0
22997,Germany,Bachelor’s degree,5.0,77831.0
22998,India,Master’s degree,3.0,19546.0
22999,Canada,Bachelor’s degree,5.0,77900.0
23001,India,Bachelor’s degree,0.5,184296.0
23003,Sweden,Less than a Bachelors,26.0,92052.0
23011,Germany,Post grad,8.0,60427.0
23024,India,Master’s degree,3.0,11169.0
23028,Australia,Bachelor’s degree,13.0,86853.0
23033,United States of America,Bachelor’s degree,2.0,90000.0
23034,India,Bachelor’s degree,3.0,13962.0
23036,India,Master’s degree,10.0,12564.0
23038,Turkey,Bachelor’s degree,6.0,18732.0
23039,India,Bachelor’s degree,5.0,25131.0
23040,Netherlands,Master’s degree,21.0,77832.0
23046,Israel,Less than a Bachelors,13.0,112068.0
23057,France,Less than a Bachelors,4.0,25944.0
23058,Poland,Bachelor’s degree,2.0,15192.0
23059,Switzerland,Bachelor’s degree,19.0,148407.0
23063,Germany,Master’s degree,1.0,51887.0
23070,Spain,Master’s degree,2.0,22056.0
23072,Israel,Less than a Bachelors,5.0,99816.0
23074,Germany,Master’s degree,12.0,83236.0
23076,Australia,Less than a Bachelors,23.0,73491.0
23080,United Kingdom of Great Britain and Northern Ireland,Post grad,35.0,129259.0
23082,India,Bachelor’s degree,14.0,27923.0
23083,United States of America,Bachelor’s degree,21.0,180000.0
23086,Italy,Less than a Bachelors,27.0,27240.0
23088,France,Master’s degree,6.0,47023.0
23090,Germany,Less than a Bachelors,2.0,36324.0
23092,India,Bachelor’s degree,2.0,12566.0
23093,France,Master’s degree,2.0,37834.0
23095,Spain,Less than a Bachelors,14.0,28105.0
23097,Germany,Bachelor’s degree,4.0,51888.0
23101,Sweden,Less than a Bachelors,14.0,81821.0
23109,Germany,Bachelor’s degree,6.0,75669.0
23110,United States of America,Less than a Bachelors,8.0,80000.0
23114,Germany,Master’s degree,11.0,90802.0
23119,Australia,Bachelor’s degree,6.0,67478.0
23120,Spain,Master’s degree,9.0,45401.0
23135,India,Master’s degree,7.0,23735.0
23137,France,Bachelor’s degree,22.0,41508.0
23144,Norway,Bachelor’s degree,13.0,77685.0
23147,India,Bachelor’s degree,7.0,217800.0
23148,India,Bachelor’s degree,2.0,32112.0
23151,India,Master’s degree,8.0,17731.0
23152,India,Bachelor’s degree,3.0,15358.0
23172,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,21.0,142185.0
23173,Russian Federation,Master’s degree,13.0,49068.0
23176,India,Bachelor’s degree,8.0,12564.0
23177,Israel,Bachelor’s degree,3.0,84048.0
23179,United States of America,Bachelor’s degree,0.5,116000.0
23182,Germany,Bachelor’s degree,17.0,48644.0
23193,Germany,Less than a Bachelors,6.0,32424.0
23195,Sweden,Less than a Bachelors,6.0,42960.0
23203,Spain,Master’s degree,5.0,25944.0
23208,India,Master’s degree,3.0,12564.0
23210,Germany,Master’s degree,6.0,84316.0
23211,India,Bachelor’s degree,2.0,11588.0
23214,Germany,Master’s degree,8.0,64859.0
23216,Germany,Less than a Bachelors,12.0,64859.0
23234,Netherlands,Bachelor’s degree,5.0,58139.0
23240,Germany,Bachelor’s degree,5.0,55776.0
23246,Germany,Bachelor’s degree,14.0,54049.0
23247,India,Bachelor’s degree,7.0,36864.0
23251,Australia,Bachelor’s degree,15.0,60129.0
23255,Switzerland,Bachelor’s degree,13.0,128078.0
23257,Germany,Less than a Bachelors,3.0,37834.0
23264,Netherlands,Less than a Bachelors,15.0,70264.0
23265,India,Bachelor’s degree,10.0,62828.0
23272,Germany,Less than a Bachelors,21.0,77831.0
23274,Germany,Bachelor’s degree,37.0,61292.0
23281,Israel,Less than a Bachelors,2.0,77052.0
23282,Germany,Master’s degree,0.5,31128.0
23285,Russian Federation,Master’s degree,10.0,79272.0
23288,Sweden,Less than a Bachelors,18.0,67500.0
23292,Spain,Bachelor’s degree,7.0,59454.0
23296,Israel,Bachelor’s degree,25.0,129588.0
23297,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,74970.0
23305,India,Bachelor’s degree,6.0,13404.0
23310,Turkey,Bachelor’s degree,7.0,23664.0
23312,India,Bachelor’s degree,7.0,16752.0
23319,Poland,Master’s degree,4.0,32906.0
23320,Italy,Bachelor’s degree,6.0,27025.0
23321,Germany,Master’s degree,5.0,73507.0
23322,Italy,Master’s degree,11.0,51888.0
23324,Norway,Master’s degree,3.0,79843.0
23325,United Kingdom of Great Britain and Northern Ireland,Master’s degree,3.0,59459.0
23329,Italy,Master’s degree,16.0,32429.0
23338,Italy,Bachelor’s degree,4.0,28105.0
23339,Poland,Master’s degree,1.0,12144.0
23346,Germany,Master’s degree,7.0,64859.0
23354,France,Master’s degree,15.0,75669.0
23360,Germany,Less than a Bachelors,4.0,50592.0
23362,Netherlands,Master’s degree,19.0,71052.0
23364,Israel,Less than a Bachelors,9.0,140088.0
23367,Russian Federation,Bachelor’s degree,2.0,13212.0
23372,Norway,Less than a Bachelors,4.0,86316.0
23379,Canada,Less than a Bachelors,3.0,41597.0
23381,India,Bachelor’s degree,4.0,13962.0
23383,Germany,Less than a Bachelors,3.0,47563.0
23388,India,Bachelor’s degree,3.0,18616.0
23395,Israel,Bachelor’s degree,2.0,112068.0
23396,Switzerland,Master’s degree,19.0,101750.0
23397,United States of America,Bachelor’s degree,8.0,145000.0
23402,Spain,Bachelor’s degree,0.5,19458.0
23405,Sweden,Bachelor’s degree,10.0,42960.0
23406,Germany,Less than a Bachelors,5.0,42804.0
23407,Russian Federation,Less than a Bachelors,8.0,18876.0
23408,Germany,Master’s degree,16.0,75669.0
23413,Spain,Bachelor’s degree,3.0,70264.0
23414,Sweden,Bachelor’s degree,10.0,55224.0
23419,France,Bachelor’s degree,3.0,37834.0
23434,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,27.0,79107.0
23437,Australia,Bachelor’s degree,6.0,93533.0
23441,Netherlands,Less than a Bachelors,19.0,51888.0
23442,Germany,Master’s degree,6.0,86478.0
23443,Spain,Bachelor’s degree,2.0,28105.0
23444,India,Bachelor’s degree,2.0,36300.0
23445,France,Master’s degree,14.0,51108.0
23447,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,4.0,77556.0
23448,Italy,Bachelor’s degree,2.0,19452.0
23449,India,Bachelor’s degree,8.0,12845.0
23450,Netherlands,Bachelor’s degree,2.0,38916.0
23457,Netherlands,Less than a Bachelors,22.0,36324.0
23463,Turkey,Bachelor’s degree,11.0,13416.0
23464,Italy,Bachelor’s degree,20.0,41077.0
23471,United States of America,Post grad,3.0,58000.0
23472,Turkey,Bachelor’s degree,27.0,38916.0
23480,Spain,Bachelor’s degree,9.0,24214.0
23483,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,0.5,26364.0
23488,United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,31022.0
23490,Germany,Master’s degree,3.0,46704.0
23493,Italy,Master’s degree,5.0,52968.0
23500,Italy,Bachelor’s degree,10.0,28536.0
23502,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,18.0,54780.0
23506,France,Master’s degree,15.0,45401.0
23507,Russian Federation,Less than a Bachelors,10.0,56616.0
23508,Poland,Post grad,8.0,31584.0
23511,Turkey,Less than a Bachelors,0.5,11834.0
23514,Germany,Master’s degree,3.0,54590.0
23520,France,Bachelor’s degree,10.0,38916.0
23527,Germany,Bachelor’s degree,4.0,47563.0
23528,France,Master’s degree,4.0,45401.0
23529,Germany,Master’s degree,4.0,54049.0
23536,Germany,Master’s degree,2.0,49296.0
23538,Italy,Bachelor’s degree,16.0,24000.0
23539,Italy,Master’s degree,36.0,54049.0
23542,Poland,Bachelor’s degree,3.0,15192.0
23546,Italy,Less than a Bachelors,21.0,49296.0
23547,Germany,Post grad,20.0,97288.0
23548,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,16.0,102115.0
23551,Israel,Less than a Bachelors,1.0,29772.0
23558,Germany,Master’s degree,20.0,73944.0
23564,India,Master’s degree,3.0,32182.0
23565,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,0.5,239130.0
23566,France,Master’s degree,20.0,162147.0
23571,Italy,Less than a Bachelors,4.0,23352.0
23577,Sweden,Less than a Bachelors,4.0,54000.0
23579,Turkey,Bachelor’s degree,9.0,39444.0
23581,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,15.0,105993.0
23583,Netherlands,Less than a Bachelors,10.0,45396.0
23590,Italy,Less than a Bachelors,6.0,25944.0
23594,Israel,Bachelor’s degree,5.0,73548.0
23599,Sweden,Less than a Bachelors,25.0,51138.0
23600,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,9.0,74970.0
23603,France,Master’s degree,3.0,49725.0
23619,Germany,Post grad,19.0,71340.0
23621,Netherlands,Bachelor’s degree,11.0,50328.0
23622,Russian Federation,Less than a Bachelors,12.0,22644.0
23623,France,Bachelor’s degree,28.0,51888.0
23634,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,14.0,96945.0
23637,United Kingdom of Great Britain and Northern Ireland,Master’s degree,8.0,96945.0
23643,France,Master’s degree,5.0,51887.0
23646,Netherlands,Bachelor’s degree,5.0,59454.0
23648,Germany,Less than a Bachelors,5.0,64860.0
23649,India,Bachelor’s degree,5.0,18150.0
23653,Spain,Less than a Bachelors,18.0,64859.0
23660,Netherlands,Bachelor’s degree,2.0,21408.0
23663,Norway,Master’s degree,7.0,134869.0
23665,Italy,Post grad,7.0,48644.0
23669,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,15.0,54289.0
23675,Turkey,Less than a Bachelors,5.0,18732.0
23676,Russian Federation,Bachelor’s degree,4.0,37752.0
23678,Poland,Master’s degree,3.0,63281.0
23679,France,Master’s degree,14.0,70264.0
23680,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,15.0,96945.0
23683,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,35.0,64630.0
23684,India,Bachelor’s degree,9.0,33508.0
23686,Netherlands,Bachelor’s degree,5.0,70264.0
23689,Germany,Master’s degree,7.0,77831.0
23690,Italy,Post grad,7.0,47563.0
23691,Spain,Bachelor’s degree,16.0,34591.0
23697,Spain,Master’s degree,15.0,45401.0
23699,Poland,Bachelor’s degree,3.0,30372.0
23700,Poland,Bachelor’s degree,5.0,48600.0
23702,Netherlands,Less than a Bachelors,3.0,31128.0
23707,India,Bachelor’s degree,10.0,26527.0
23710,Italy,Less than a Bachelors,10.0,51888.0
23715,India,Master’s degree,6.0,33508.0
23717,France,Master’s degree,12.0,62697.0
23722,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,7.0,62045.0
23732,Spain,Less than a Bachelors,22.0,51887.0
23736,Italy,Master’s degree,4.0,37834.0
23738,Germany,Master’s degree,4.0,54049.0
23740,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,18.0,32315.0
23741,Germany,Master’s degree,21.0,44748.0
23744,Netherlands,Less than a Bachelors,9.0,66156.0
23746,Norway,Bachelor’s degree,6.0,97106.0
23747,India,Bachelor’s degree,6.0,44678.0
23748,Germany,Master’s degree,20.0,97288.0
23753,Spain,Master’s degree,3.0,32429.0
23754,Italy,Less than a Bachelors,3.0,28105.0
23764,France,Bachelor’s degree,3.0,32429.0
23772,Germany,Master’s degree,6.0,45401.0
23781,Poland,Less than a Bachelors,0.5,10632.0
23782,France,Post grad,23.0,55776.0
23786,United Kingdom of Great Britain and Northern Ireland,Post grad,18.0,77556.0
23790,Germany,Bachelor’s degree,15.0,48644.0
23791,Turkey,Bachelor’s degree,6.0,23664.0
23792,Italy,Bachelor’s degree,15.0,25944.0
23794,Germany,Bachelor’s degree,24.0,51888.0
23795,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,2.0,49765.0
23796,Germany,Master’s degree,14.0,64859.0
23797,Poland,Bachelor’s degree,2.0,24300.0
23798,India,Master’s degree,7.0,16752.0
23799,Australia,Less than a Bachelors,14.0,71820.0
23806,India,Bachelor’s degree,7.0,16752.0
23807,Germany,Master’s degree,5.0,18156.0
23811,Sweden,Bachelor’s degree,0.5,42960.0
23812,Russian Federation,Bachelor’s degree,4.0,22644.0
23816,India,Bachelor’s degree,8.0,12286.0
23817,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,7.0,69800.0
23819,Spain,Master’s degree,3.0,42158.0
23820,Russian Federation,Bachelor’s degree,1.0,11328.0
23823,United States of America,Bachelor’s degree,35.0,16250.0
23829,Germany,Less than a Bachelors,2.0,54049.0
23832,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,81433.0
23835,Norway,Master’s degree,15.0,102501.0
23836,Norway,Post grad,7.0,72829.0
23839,Russian Federation,Less than a Bachelors,6.0,27180.0
23842,Germany,Master’s degree,8.0,68102.0
23857,India,Bachelor’s degree,3.0,13962.0
23864,Italy,Less than a Bachelors,20.0,19452.0
23866,Germany,Bachelor’s degree,9.0,92964.0
23868,Italy,Master’s degree,3.0,42158.0
23870,Germany,Master’s degree,10.0,91883.0
23871,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,3.0,25852.0
23874,United States of America,Less than a Bachelors,20.0,240000.0
23882,Netherlands,Less than a Bachelors,36.0,81074.0
23883,Spain,Bachelor’s degree,22.0,57292.0
23887,United States of America,Master’s degree,3.0,85000.0
23888,Switzerland,Master’s degree,14.0,142308.0
23890,Poland,Bachelor’s degree,3.0,36444.0
23892,Germany,Less than a Bachelors,0.5,21408.0
23895,Germany,Less than a Bachelors,7.0,64859.0
23897,Germany,Master’s degree,2.0,55130.0
23902,France,Master’s degree,5.0,37620.0
23904,Russian Federation,Bachelor’s degree,1.0,124560.0
23913,Israel,Bachelor’s degree,16.0,91056.0
23915,India,Bachelor’s degree,1.0,27923.0
23917,United Kingdom of Great Britain and Northern Ireland,Master’s degree,20.0,50411.0
23921,Germany,Master’s degree,13.0,70264.0
23923,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,37485.0
23924,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,11.0,77556.0
23926,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,9.0,109871.0
23935,Australia,Master’s degree,21.0,100214.0
23945,India,Bachelor’s degree,5.0,41885.0
23946,Sweden,Less than a Bachelors,11.0,36816.0
23947,India,Bachelor’s degree,6.0,18150.0
23951,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,51704.0
23952,Spain,Bachelor’s degree,3.0,30267.0
23956,Israel,Bachelor’s degree,8.0,129588.0
23959,Germany,Master’s degree,30.0,81074.0
23965,Sweden,Master’s degree,23.0,55224.0
23968,India,Bachelor’s degree,7.0,156371.0
23969,India,Bachelor’s degree,9.0,118675.0
23970,Germany,Master’s degree,5.0,41508.0
23971,Sweden,Bachelor’s degree,6.0,55224.0
23974,Sweden,Master’s degree,24.0,81612.0
23976,United Kingdom of Great Britain and Northern Ireland,Master’s degree,10.0,90482.0
23986,Germany,Master’s degree,8.0,70264.0
23988,Spain,Bachelor’s degree,15.0,86478.0
23990,Germany,Master’s degree,4.0,59454.0
23991,Russian Federation,Bachelor’s degree,3.0,45300.0
23995,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,58167.0
24000,Germany,Less than a Bachelors,7.0,67452.0
24002,Russian Federation,Master’s degree,14.0,33024.0
24012,Germany,Master’s degree,2.0,54481.0
24013,Italy,Less than a Bachelors,13.0,37834.0
24020,Norway,Master’s degree,5.0,60421.0
24023,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,23.0,56228.0
24030,Germany,Bachelor’s degree,7.0,51888.0
24031,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,5.0,129259.0
24033,Spain,Master’s degree,2.0,21079.0
24035,India,Master’s degree,4.0,19546.0
24036,Netherlands,Master’s degree,3.0,55776.0
24037,Germany,Bachelor’s degree,4.0,72426.0
24039,Germany,Bachelor’s degree,10.0,80424.0
24042,Poland,Bachelor’s degree,1.0,11844.0
24043,France,Less than a Bachelors,10.0,51888.0
24044,Sweden,Less than a Bachelors,18.0,67500.0
24047,Switzerland,Bachelor’s degree,4.0,102693.0
24049,Poland,Less than a Bachelors,4.0,44904.0
24052,Sweden,Less than a Bachelors,1.0,32496.0
24061,Switzerland,Master’s degree,5.0,101649.0
24063,India,Bachelor’s degree,4.0,39093.0
24065,Germany,Less than a Bachelors,1.0,38916.0
24069,India,Bachelor’s degree,14.0,44678.0
24070,Russian Federation,Post grad,12.0,20400.0
24074,Poland,Master’s degree,2.0,15492.0
24079,Turkey,Master’s degree,3.0,66000.0
24083,Germany,Master’s degree,10.0,62156.0
24084,Germany,Master’s degree,7.0,75669.0
24085,France,Master’s degree,3.0,15564.0
24087,Sweden,Master’s degree,5.0,49093.0
24088,Poland,Master’s degree,10.0,18228.0
24095,Sweden,Bachelor’s degree,0.5,30684.0
24098,Spain,Bachelor’s degree,3.0,29186.0
24099,France,Less than a Bachelors,16.0,37140.0
24101,United Kingdom of Great Britain and Northern Ireland,Master’s degree,8.0,71093.0
24104,France,Master’s degree,15.0,34591.0
24107,United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,51704.0
24110,Germany,Master’s degree,15.0,93396.0
24113,Switzerland,Post grad,5.0,109781.0
24117,Spain,Master’s degree,5.0,37834.0
24121,Norway,Master’s degree,12.0,86316.0
24124,France,Master’s degree,7.0,54049.0
24126,Sweden,Master’s degree,9.0,76092.0
24127,Sweden,Master’s degree,13.0,63816.0
24135,Poland,Bachelor’s degree,4.0,36444.0
24137,Germany,Bachelor’s degree,9.0,51887.0
24139,Turkey,Bachelor’s degree,5.0,16968.0
24140,Germany,Bachelor’s degree,2.0,51888.0
24142,Poland,Bachelor’s degree,1.0,25512.0
24143,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,41363.0
24145,Germany,Bachelor’s degree,0.5,38916.0
24146,Switzerland,Bachelor’s degree,8.0,101649.0
24150,Germany,Master’s degree,25.0,108098.0
24151,Spain,Post grad,21.0,50698.0
24152,France,Master’s degree,2.0,39996.0
24154,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,71093.0
24157,Germany,Master’s degree,2.0,64860.0
24166,Netherlands,Master’s degree,5.0,49725.0
24168,United Kingdom of Great Britain and Northern Ireland,Master’s degree,25.0,155111.0
24171,France,Master’s degree,7.0,35672.0
24176,India,Bachelor’s degree,3.0,10056.0
24180,India,Bachelor’s degree,0.5,13962.0
24184,Germany,Less than a Bachelors,22.0,73507.0
24189,United Kingdom of Great Britain and Northern Ireland,Master’s degree,10.0,58167.0
24195,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,20.0,78848.0
24212,India,Bachelor’s degree,0.5,25131.0
24213,Germany,Master’s degree,2.0,58373.0
24214,India,Bachelor’s degree,1.0,29320.0
24219,United Kingdom of Great Britain and Northern Ireland,Master’s degree,4.0,82726.0
24222,Norway,Master’s degree,2.0,70132.0
24226,France,Less than a Bachelors,12.0,51888.0
24227,Germany,Post grad,10.0,54049.0
24243,France,Master’s degree,10.0,88640.0
24247,Germany,Less than a Bachelors,10.0,81074.0
24248,Turkey,Bachelor’s degree,12.0,49308.0
24252,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,11.0,71093.0
24261,Netherlands,Bachelor’s degree,7.0,55670.0
24267,India,Bachelor’s degree,10.0,27560.0
24276,Germany,Less than a Bachelors,3.0,38064.0
24277,Germany,Less than a Bachelors,3.0,38916.0
24280,Netherlands,Bachelor’s degree,10.0,118908.0
24284,France,Less than a Bachelors,10.0,19452.0
24289,Germany,Master’s degree,6.0,86478.0
24293,Netherlands,Bachelor’s degree,3.0,45396.0
24298,India,Bachelor’s degree,2.0,12705.0
24299,Spain,Bachelor’s degree,5.0,41077.0
24306,India,Bachelor’s degree,6.0,13404.0
24313,Israel,Less than a Bachelors,4.0,77052.0
24317,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,5.0,64630.0
24318,Switzerland,Master’s degree,3.0,43908.0
24323,Switzerland,Master’s degree,10.0,91484.0
24327,Spain,Bachelor’s degree,5.0,60211.0
24330,Netherlands,Master’s degree,6.0,62268.0
24336,Switzerland,Bachelor’s degree,6.0,96566.0
24342,Netherlands,Bachelor’s degree,8.0,46704.0
24350,Germany,Master’s degree,10.0,54049.0
24365,Poland,Less than a Bachelors,5.0,15192.0
24372,Italy,Post grad,35.0,32424.0
24374,Germany,Master’s degree,4.0,47563.0
24380,Sweden,Bachelor’s degree,3.0,34980.0
24381,Israel,Less than a Bachelors,5.0,112068.0
24382,United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,51704.0
24390,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,15.0,32315.0
24391,Spain,Post grad,5.0,92964.0
24393,Sweden,Bachelor’s degree,2.0,59847.0
24397,India,Bachelor’s degree,5.0,13264.0
24398,Italy,Bachelor’s degree,10.0,56211.0
24406,Switzerland,Less than a Bachelors,3.0,97584.0
24408,Turkey,Bachelor’s degree,7.0,34512.0
24411,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,14.0,90482.0
24414,India,Bachelor’s degree,1.0,10471.0
24418,Switzerland,Bachelor’s degree,13.0,79896.0
24419,Russian Federation,Master’s degree,13.0,84924.0
24422,Germany,Bachelor’s degree,1.0,64859.0
24428,Sweden,Less than a Bachelors,10.0,57684.0
24436,Turkey,Bachelor’s degree,4.0,31560.0
24438,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,16.0,64630.0
24440,Netherlands,Bachelor’s degree,2.0,36972.0
24442,Sweden,Bachelor’s degree,10.0,104322.0
24443,Russian Federation,Less than a Bachelors,30.0,44544.0
24444,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,5.0,64630.0
24446,Germany,Bachelor’s degree,2.0,70264.0
24447,Germany,Less than a Bachelors,15.0,110256.0
24449,Germany,Bachelor’s degree,8.0,48644.0
24450,India,Bachelor’s degree,7.0,58639.0
24451,Brazil,Bachelor’s degree,15.0,38484.0
24452,Germany,Master’s degree,6.0,51888.0
24463,Poland,Master’s degree,8.0,54672.0
24464,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,103408.0
24466,France,Bachelor’s degree,21.0,68102.0
24467,India,Bachelor’s degree,3.0,27923.0
24471,Spain,Post grad,5.0,27025.0
24472,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,43948.0
24474,Sweden,Less than a Bachelors,15.0,39276.0
24475,India,Bachelor’s degree,0.5,32112.0
24478,Australia,Master’s degree,30.0,86853.0
24482,Brazil,Bachelor’s degree,20.0,27492.0
24483,India,Master’s degree,7.0,19546.0
24492,Germany,Less than a Bachelors,5.0,37618.0
24495,Germany,Bachelor’s degree,12.0,71340.0
24503,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,0.5,25852.0
24504,Sweden,Bachelor’s degree,15.0,71184.0
24508,India,Bachelor’s degree,3.0,41885.0
24510,Spain,Post grad,20.0,46482.0
24513,Germany,Bachelor’s degree,5.0,115665.0
24514,Turkey,Less than a Bachelors,20.0,90500.0
